odofbrn,sptno,cno,cwknm,orcd,ornm,rutcd,rutnm,pdznnm,bzkdcd,bzkdnm,bztocd,stwrdt,ccwdt,ccwxpcdt,ccwyn,ccwynnm,bzarcd,bzarnm,extcyclsecd,extcyclsenm,lastamt,cwksctnnm,index,seqflag,seq,fld01,fld02,fld03,fld04,fld05,fld06,rprtdt
1108300348,C2004186,C2004193,가금제 개수공사,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2007-12-27,2012-12-26,20121226,1,완료공사,102,하천,C,시공,"12,211,532,000",하성면 시암리~월곶면 용강리,0,,,,,,,,,
1108300348,C2004186,C2004193,가금제 개수공사,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2007-12-27,2012-12-26,20121226,1,완료공사,102,하천,C,시공,"12,211,532,000",하성면 시암리~월곶면 용강리,0,,,,,,,,,
1108300348,C2004186,C2004193,가금제 개수공사,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2007-12-27,2012-12-26,20121226,1,완료공사,102,하천,C,시공,"12,211,532,000",하성면 시암리~월곶면 용강리,0,,,,,,,,,
1108300348,C2004186,C2004193,가금제 개수공사,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2007-12-27,2012-12-26,20121226,1,완료공사,102,하천,C,시공,"12,211,532,000",하성면 시암리~월곶면 용강리,0,,,,,,,,,
1108300348,C2004186,C2004193,가금제 개수공사,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2007-12-27,2012-12-26,20121226,1,완료공사,102,하천,C,시공,"12,211,532,000",하성면 시암리~월곶면 용강리,0,,,,,,,,,
1108300348,C2004186,C2004193,가금제 개수공사,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2007-12-27,2012-12-26,20121226,1,완료공사,102,하천,C,시공,"12,211,532,000",하성면 시암리~월곶면 용강리,0,,,,,,,,,
1108300348,C2004186,C2004193,가금제 개수공사,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2007-12-27,2012-12-26,20121226,1,완료공사,102,하천,C,시공,"12,211,532,000",하성면 시암리~월곶면 용강리,0,,,,,,,,,
1108300348,C2004186,C2004193,가금제 개수공사,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2007-12-27,2012-12-26,20121226,1,완료공사,102,하천,C,시공,"12,211,532,000",하성면 시암리~월곶면 용강리,0,,,,,,,,,
1108300348,C2004186,C2004193,가금제 개수공사,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2007-12-27,2012-12-26,20121226,1,완료공사,102,하천,C,시공,"12,211,532,000",하성면 시암리~월곶면 용강리,0,,,,,,,,,
1108300348,C2004186,C2004193,가금제 개수공사,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2007-12-27,2012-12-26,20121226,1,완료공사,102,하천,C,시공,"12,211,532,000",하성면 시암리~월곶면 용강리,0,,,,,,,,,
1108300348,C2004186,C2004193,가금제 개수공사,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2007-12-27,2012-12-26,20121226,1,완료공사,102,하천,C,시공,"12,211,532,000",하성면 시암리~월곶면 용강리,0,,,,,,,,,
1108300348,C2004186,C2004193,가금제 개수공사,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2007-12-27,2012-12-26,20121226,1,완료공사,102,하천,C,시공,"12,211,532,000",하성면 시암리~월곶면 용강리,0,,,,,,,,,
1108300348,C2004186,C2004193,가금제 개수공사,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2007-12-27,2012-12-26,20121226,1,완료공사,102,하천,C,시공,"12,211,532,000",하성면 시암리~월곶면 용강리,0,,,,,,,,,
1108300348,C2004186,C2004193,가금제 개수공사,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2007-12-27,2012-12-26,20121226,1,완료공사,102,하천,C,시공,"12,211,532,000",하성면 시암리~월곶면 용강리,0,,,,,,,,,
1108300348,C2004186,C2004193,가금제 개수공사,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2007-12-27,2012-12-26,20121226,1,완료공사,102,하천,C,시공,"12,211,532,000",하성면 시암리~월곶면 용강리,0,,,,,,,,,
1108300348,C2004186,C2004193,가금제 개수공사,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2007-12-27,2012-12-26,20121226,1,완료공사,102,하천,C,시공,"12,211,532,000",하성면 시암리~월곶면 용강리,0,,,,,,,,,
1108300348,C2004186,C2004193,가금제 개수공사,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2007-12-27,2012-12-26,20121226,1,완료공사,102,하천,C,시공,"12,211,532,000",하성면 시암리~월곶면 용강리,0,,,,,,,,,
